City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
221,Kiama,AU,2021-11-25 16:19:21,-34.6833,150.8667,64.0,96,100,5.01
222,Tuban,ID,2021-11-25 16:19:21,-6.8976,112.0649,77.72,89,100,10.83
223,Urubicha,BO,2021-11-25 16:19:22,-15.3833,-62.95,82.44,77,100,5.28
224,Marienburg,PL,2021-11-25 16:19:22,54.0359,19.0266,40.12,68,68,10.69
225,Barao De Melgaco,BR,2021-11-25 16:20:23,-16.1944,-55.9675,88.32,80,100,1.95
226,Baculin,PH,2021-11-25 16:20:23,7.4525,126.5842,78.42,84,100,4.34
227,Benjamin Aceval,PY,2021-11-25 16:20:23,-24.9667,-57.5667,96.94,32,78,11.83
228,Vestmanna,FO,2021-11-25 16:20:24,62.1564,-7.1664,38.32,87,90,17.27
229,Vanimo,PG,2021-11-25 16:20:24,-2.6741,141.3028,78.73,87,99,2.08
230,Leua,SK,2021-11-25 16:20:24,48.2156,18.6071,40.5,74,46,11.54
231,Ardesen,TR,2021-11-25 16:20:25,41.1911,40.9875,48.16,84,100,4.09
232,Lokosovo,RU,2021-11-25 16:20:25,61.1333,74.8167,0.68,99,96,7.67
233,Constitucion,CL,2021-11-25 16:20:25,-35.3333,-72.4167,67.39,61,5,13.76
234,Chuy,UY,2021-11-25 16:20:26,-33.6971,-53.4616,78.87,48,100,11.21
235,Sompeta,IN,2021-11-25 16:20:26,18.9333,84.6,76.44,82,65,3.13
236,Petropavlovsk-Kamchatskiy,RU,2021-11-25 16:20:27,53.0452,158.6483,34.39,69,75,6.71
237,Qaqortoq,GL,2021-11-25 16:20:27,60.7167,-46.0333,34.3,99,100,5.53
238,Meulaboh,ID,2021-11-25 16:20:27,4.1363,96.1285,78.28,84,100,3.65
239,Bilibino,RU,2021-11-25 16:20:28,68.0546,166.4372,-17.43,99,100,2.46
240,Quimper,FR,2021-11-25 16:20:28,48.0,-4.1,47.08,66,20,11.5
241,Broken Hill,AU,2021-11-25 16:20:28,-31.95,141.4333,60.89,82,92,23.87
242,Talnakh,RU,2021-11-25 16:20:29,69.4865,88.3972,4.78,94,100,6.29
243,Imues,CO,2021-11-25 16:20:29,1.0607,-77.5004,61.02,75,90,2.24
244,Bethel,US,2021-11-25 16:20:29,41.3712,-73.414,52.05,50,40,1.01
245,Kimbe,PG,2021-11-25 16:20:30,-5.5502,150.1429,74.98,95,62,4.16
246,Hamilton,US,2021-11-25 16:20:14,39.1834,-84.5333,47.37,93,90,1.01
247,Porto Belo,BR,2021-11-25 16:20:30,-27.1578,-48.5531,82.09,72,24,12.48
248,Eureka,US,2021-11-25 16:20:31,40.8021,-124.1637,44.64,42,100,3.69
249,Chegdomyn,RU,2021-11-25 16:20:31,51.1167,133.0167,8.82,99,100,0.31
250,Anloga,GH,2021-11-25 16:20:31,5.7947,0.8973,85.37,67,59,11.79
251,Pilar,BR,2021-11-25 16:20:31,-9.5972,-35.9567,91.33,43,38,14.32
252,Esperance,AU,2021-11-25 16:20:32,-33.8667,121.9,59.81,77,100,10.36
253,Aklavik,CA,2021-11-25 16:20:32,68.2191,-135.0107,-16.6,76,75,11.5
254,Karaman,TR,2021-11-25 16:20:32,37.0833,33.25,46.54,73,68,5.88
255,Cristalina,BR,2021-11-25 16:20:33,-16.7686,-47.6136,81.72,39,96,7.72
256,Fort Morgan,US,2021-11-25 16:20:33,40.2503,-103.8,37.81,74,1,6.91
257,Khatanga,RU,2021-11-25 16:20:33,71.9667,102.5,-7.56,99,95,3.13
258,Domna,RU,2021-11-25 16:20:34,51.8971,113.1573,-7.44,84,72,0.0
259,Mananjary,MG,2021-11-25 16:20:34,-21.2167,48.3333,74.62,92,99,12.08
260,Hualmay,PE,2021-11-25 16:20:34,-11.0964,-77.6139,70.2,76,80,9.06
261,Bom Jesus Da Lapa,BR,2021-11-25 16:20:35,-13.255,-43.4181,95.02,18,79,6.67
262,Dubbo,AU,2021-11-25 16:20:35,-32.25,148.6167,64.53,100,75,4.61
263,Ahipara,NZ,2021-11-25 16:20:35,-35.1667,173.1667,57.24,89,43,2.28
264,Port Blair,IN,2021-11-25 16:20:36,11.6667,92.75,78.01,88,100,7.94
265,Alice Springs,AU,2021-11-25 16:16:52,-23.7,133.8833,65.75,72,52,10.36
266,Pingliang,CN,2021-11-25 16:20:36,35.5392,106.6861,38.07,32,8,3.42
267,Upernavik,GL,2021-11-25 16:20:36,72.7868,-56.1549,17.65,91,100,8.08
268,Walvis Bay,NA,2021-11-25 16:21:37,-22.9575,14.5053,63.55,72,75,8.05
269,Ballitoville,ZA,2021-11-25 16:21:37,-29.539,31.2144,62.74,88,90,8.05
270,Sitka,US,2021-11-25 16:21:37,57.0531,-135.33,44.49,93,90,5.75
